,japanese,english
0,の,of
1,に,To
2,は,It is
3,て,hand
4,を,The
5,が,But
6,た,It was
7,する,Make
8,と,When
9,ます,You
10,で,so
11,ない,Absent
12,いる,Are
13,も,Also
14,ある,is there
15,です,is
16,こと,thing
17,なる,Become
18,れる,It is
19,から,From
20,ん,Hmm
21,よう,Yo
22,いう,Say
23,う,Cormorant
24,人,Man
25,この,this
26,という,That
27,思う,think
28,その,That
29,もの,thing
30,や,Ya
31,ば,Place
32,者,Person
33,できる,it can
34,これ,this
35,言う,To tell
36,くる,come
37,月,Month
38,として,As
39,さん,Mr.
40,まで,Until
41,たい,Want
42,られる,It is
43,お,Contact
44,へ,What
45,見る,to see
46,ため,For
47,てる,Teru
48,そう,so
49,日本,Japan
50,おる,Oru
51,一,one
52,ので,Since the
53,いく,Come
54,だけ,Only
55,何,what
56,自分,myself
57,しまう,Put away
58,について,about
59,ぬ,Unexpected
60,問題,problem
61,考える,Think
62,せる,Cell
63,また,Also
64,でも,But
65,わけ,reason
66,ござる,A bamboo basket
67,たち,Us
68,ところ,Place
69,いい,Good
70,って,I
71,前,Before
72,第,The
73,たり,Or
74,性,sex
75,行く,go
76,より,Than
77,そして,And
78,けど,but
79,どう,How
80,出る,Leave
81,時間,time
82,会,Meeting
83,書く,write
84,円,Circle
85,二,two
86,し,Tooth
87,場合,Case
88,持つ,To have
89,必要,necessary
90,情報,information
91,とき,When
92,コメント,comment
93,化,Of
94,上,Up
95,事,Thing
96,使う,use
97,行う,Do
98,な,I
99,ご,Your
100,話,Story
101,くれる,Give me
102,ながら,Though
103,よい,The good
104,H,H
105,本,Book
106,じゃ,Well
107,ここ,here
108,分,Minute
109,十,Ten
110,目,Eye
111,多い,Many
112,知る,know
113,今日,today
114,良い,good
115,関係,Relation
116,委員,Committee member
117,後,rear
118,かも,maybe
119,家,House
120,そういう,Like that
121,聞く,listen
122,世界,world
123,気,Care
124,点,point
125,入れる,Put in
126,見える,appear
127,どの,Which
128,にとって,for
129,活動,Activity
130,東京,Tokyo
131,好き,Like
132,どこ,Where
133,かなり,Rather
134,こんな,Such
135,状況,Status
136,五,Five
137,新しい,new
138,に対する,In
139,無い,No
140,強い,strong
141,管理,management
142,特に,in particular
143,環境,environment
144,ページ,page
145,地域,area
146,始める,start
147,本当に,Really
148,悪い,bad
149,実際,Practical
